Section,Nominal Size [mm],w [kg/m],d [mm],bf [mm],tw [mm],tf [mm],r [mm],A [cm2],Ix [cm4],Iy [cm4],rx [cm],ry [cm],Sx [cm3],Sy [cm3],Zx [cm3],Zy [cm3],h/tw,0.5bf/tf,ho [mm],j [cm4],cw [10^6 cm6],rts [cm6],Lp [cm],Lr [cm]
W-100x50x5x7 (9.3 kg/m),100x50,9.3,100,50,5,7,8,11.85,187,14.8,3.98,1.12,37.5,5.91,41.8,9.29,14,3.57,93,1.53,0.0003,1.35,56.32,297.29
W-100x100x6x8 (17.2 kg/m),100x100,17.2,100,100,6,8,10,21.9,383,134,4.2,2.47,77,27,84.18,40.76,10.67,6.25,92,4.08,0.003,2.83,124.21,702.58
W-125x125x6.5x9 (23.8 kg/m),125x125,23.8,125,125,6.5,9,10,30.31,847,293,5.3,3.11,136,47,149.1,71.44,13.38,6.94,116,7.14,0.01,3.53,156.39,786.27
W-150x75x5x7 (14 kg/m),150x75,14,150,75,5,7,8,17.85,666,50,6.1,1.66,89,13,98.2,20.54,24,5.36,143,2.31,0.003,2,83.47,312.16
W-150x100x6x9 (21.1 kg/m),150x100,21.1,148,100,6,9,11,26.84,1020,151,6.2,2.37,138,30,150.45,46.17,18,5.56,139,5.86,0.01,2.76,119.18,518.56
W-150x150x7x10 (31.5 kg/m),150x150,31.5,150,150,7,10,11,40.14,1640,563,6.4,3.75,219,75,239.58,114.09,15.43,7.5,140,11.6,0.03,4.24,188.57,872.24
W-175x90x5x8 (18.1 kg/m),175x90,18.1,175,90,5,8,9,23.04,1210,97.5,7.26,2.06,139,21.7,151.84,33.39,28.2,5.63,167,3.77,0.01,2.42,103.59,364.27
W-175x175x7.5x11 (40.2 kg/m),175x175,40.2,175,175,7.5,11,12,51.21,2880,984,7.5,4.38,330,112,359.59,170.59,17.2,7.95,164,17.83,0.07,4.94,220.25,959.04
W-V200x100x4.5x7 (18.2 kg/m),V200x100,18.2,198,99,4.5,7,11,23.18,1580,114,8.3,2.21,160,23,170.45,35.24,36,7.07,191,2.84,0.01,2.61,111.13,343.16
W-200x100x5.5x8 (21.3 kg/m),200x100,21.3,200,100,5.5,8,11,27.16,1840,134,8.2,2.22,184,27,200.15,41.39,29.45,6.25,192,4.48,0.01,2.64,111.63,372.23
W-200x150x6x9 (30.6 kg/m),200x150,30.6,194,150,6,9,13,39.01,2690,507,8.3,3.61,227,68,296.21,102.83,25,8.33,185,8.62,0.04,4.55,181.53,736.99
