Province,District,Ss,S1
Krabi,Kolanta,0.143,0.089
Krabi,Khaophanom,0.227,0.108
Krabi,Khlongthom,0.147,0.129
Krabi,Plaiphraya,0.263,0.1
Krabi,Mueangkrabi,0.218,0.105
Krabi,Lamthap,0.158,0.09
Krabi,Enuekhlong,0.195,0.088
Krabi,Aoluek,0.267,0.11
Kanchanaburi,Danmakhamtia,0.862,0.316
Kanchanaburi,Thongphaphumi,0.728,0.2
Kanchanaburi,Thamuang,0.802,0.275
Kanchanaburi,Thamaka,0.481,0.154
Kanchanaburi,Thraiyok,0.747,0.21
Kanchanaburi,Bophloi,0.659,0.197
Kanchanaburi,Phanomthuan,0.452,0.136
Kanchanaburi,Mueangkantnburi,0.642,0.241
Kanchanaburi,Laokhwan,0.487,0.138
Kanchanaburi,Sritwat,0.752,0.208
Kanchanaburi,Sangklaburi,0.84,0.234
Kanchanaburi,Nongprue,0.674,0.199
Kanchanaburi,Huaikrachao,0.52,0.155
Kalasin,Kamlasai,0.046,0.028
Kalasin,Kuchinarai,0.049,0.028
Kalasin,Khaowong,0.054,0.029
Kalasin,Khammuang,0.059,0.031
Kalasin,Khongchai,0.046,0.028
Kalasin,Donchan,0.048,0.028
Kalasin,Thakhantho,0.07,0.033
Kalasin,Nakhu,0.055,0.029
Kalasin,Namon,0.05,0.029
Kalasin,Mueangkansin,0.048,0.028
Kalasin,Yangtlat,0.048,0.028
Kalasin,Rongkham,0.045,0.027
Kalasin,Samchai,0.061,0.031
Kalasin,Samadet,0.053,0.03
Kalasin,Sahatkhan,0.055,0.03
Kalasin,Nongkungsri,0.055,0.03
Kalasin,Huaiphueng,0.052,0.029
Kalasin,Huaimek,0.054,0.03
Kamphaeng Phet,Kosamphinakhon,0.469,0.133
Kamphaeng Phet,Khanuwonlaksburi,0.363,0.108
Kamphaeng Phet,Khlongkhlung,0.332,0.104
Kamphaeng Phet,Khlonglan,0.496,0.149
Kamphaeng Phet,Thraithongwatna,0.252,0.086
Kamphaeng Phet,Thraingam,0.252,0.084
Kamphaeng Phet,Buengsamakkhi,0.205,0.077
Kamphaeng Phet,Pangsilathong,0.493,0.147
Kamphaeng Phet,Phrankratai,0.433,0.117
Kamphaeng Phet,Mueangkamphaengphetn,0.434,0.122
Kamphaeng Phet,Lankrabue,0.327,0.094
Khon Kaen,Kranuan,0.06,0.031
Khon Kaen,Khaosuankwang,0.074,0.033
Khon Kaen,Khokphochai,0.05,0.031
Khon Kaen,Chanabot,0.048,0.029
Khon Kaen,Chumphae,0.08,0.035
Khon Kaen,Samsung,0.054,0.03
Khon Kaen,Nonsila,0.045,0.029
Khon Kaen,Namphong,0.064,0.032
Khon Kaen,Banhaed,0.049,0.029
Khon Kaen,Banphai,0.047,0.029
Khon Kaen,Banfang,0.056,0.031
Khon Kaen,Nongnakham,0.087,0.036
Khon Kaen,Pueainoi,0.043,0.028
Khon Kaen,Phrayuen,0.053,0.03
Khon Kaen,Phon,0.044,0.029
Khon Kaen,Phuphaman,0.11,0.038
Khon Kaen,Phuwiang,0.074,0.034
Khon Kaen,Manchakhiri,0.05,0.03
Khon Kaen,Mueangkhonkaen,0.053,0.03
Khon Kaen,Waengnoi,0.045,0.03
Khon Kaen,Waengain,0.047,0.029
Khon Kaen,Sitmphu,0.098,0.037
Khon Kaen,Nongruea,0.059,0.032
Khon Kaen,Nongsongong,0.042,0.028
Khon Kaen,Upnrat,0.072,0.033
Chanthaburi,Kaengangmaeo,0.049,0.033
Chanthaburi,Khlung,0.04,0.03
Chanthaburi,Khaokhittkut,0.043,0.031
Chanthaburi,Thaaim,0.044,0.032
Chanthaburi,Nayaiam,0.049,0.033
Chanthaburi,Pongnamron,0.04,0.029
Chanthaburi,Makham,0.041,0.03
Chanthaburi,Mueangchantburi,0.041,0.03
Chanthaburi,Soidao,0.041,0.029
Chanthaburi,Aenmsing,0.042,0.031
Chachoengsao,Thatakiap,0.054,0.034
Chachoengsao,Paenngyao,0.089,0.042
Chachoengsao,Phanamasankham,0.058,0.036
Chachoengsao,Sanamchaikhet,0.068,0.038
Chonburi,Kochan,0.096,0.042
Chonburi,Kosichang,0.153,0.056
Chonburi,Bothong,0.084,0.039
Chonburi,Banglamung,0.117,0.048
Chonburi,Banbueng,0.118,0.045
Chonburi,Phanatnikm,0.114,0.046
Chonburi,Sriracha,0.141,0.049
Chonburi,Sathip,0.116,0.049
Chonburi,Nongain,0.094,0.04
Chai Nat,Noenkham,0.362,0.116
Chai Nat,Nongmamong,0.385,0.119
Chai Nat,Manonm,0.15,0.069
Chai Nat,Mueangchainat,0.17,0.075
Chai Nat,Watsing,0.207,0.083
