Zone,Sa(0.01s),SDS(0.2s),Sa(0.5s),SD1(1.0s),Sa(2.0s),Sa(3.0s),Sa(4.0s),Sa(5.0s),Sa(6.0s)
1,0.36,0.36,0.36,0.181,0.085,0.041,0.034,0.024,0.022
2,0.352,0.352,0.352,0.193,0.151,0.084,0.047,0.03,0.024
3,0.262,0.262,0.262,0.265,0.166,0.085,0.052,0.035,0.026
4,0.287,0.287,0.287,0.207,0.163,0.078,0.032,0.023,0.02
5,0.191,0.191,0.191,0.199,0.168,0.094,0.053,0.037,0.028
6,0.272,0.272,0.272,0.154,0.15,0.077,0.042,0.031,0.026
7,0.246,0.246,0.246,0.181,0.132,0.084,0.051,0.036,0.03
8,0.162,0.162,0.162,0.075,0.041,0.025,0.015,0.01,0.008
9,0.214,0.214,0.214,0.156,0.107,0.048,0.022,0.014,0.011
10,0.179,0.179,0.179,0.049,0.035,0.023,0.014,0.01,0.008
